,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CC,CBH,CH,CBD,WS,WD,M1,M10,M100
inputs,0.1,0.5,0.1,0.8,3562.0,1.0,821.0,0.1,0.9,0.1,0.4,1,1,5,0.0,29.0,0.07,-4.69,6.56,-0.08,5.6,157.5,0.06,0.02,0.08
inputs-1000M,0.1,0.3,0.3,0.3,2214.0,171.0,200.0,0.2,0.5,0.2,0.3,2,2,2,8.0,64.0,-0.08,2.84,0.09,-0.64,1.3,340.2,0.0,0.0,0.0
inputs-500M,0.2,0.4,0.6,0.6,2948.0,16.0,16.0,0.1,0.4,0.1,0.5,2,2,2,13.0,91.0,0.01,3.95,2.64,-0.1,4.5,-41.2,0.0,0.0,0.0
